userId,anonymousId,sessionId,browser,country,timestamp,qty,amount
94,Edge94__0.22936796420820404,0.5607597424102244,Edge,US,2023-04-02 09:38:59,1,5
42,Chrome42__0.37232185861232336,0.43125187489023764,Chrome,US,2023-04-02 10:45:54,5,45
61,Opera61__0.5771095797931649,0.060641986949571125,Opera,US,2023-04-02 11:08:59,3,18
125,Chrome125__0.30122824327795894,0.10990309437707713,Chrome,US,2023-04-02 13:47:14,3,12
81,Chrome81__0.11688465066930775,0.4861450451051019,Chrome,US,2023-04-02 14:06:21,14,104
74,Chrome74__0.5935081172111358,0.8315929978310121,Chrome,US,2023-04-02 15:18:47,5,5
80,Safari80__0.8515868187430815,0.25306302036075223,Safari,US,2023-04-02 17:49:29,3,12
236,Edge236__0.7928091407966529,0.08977810864531643,Edge,UK,2023-04-03 10:32:35,4,20
25,Chrome25__0.5336357516489791,0.2574586405379362,Chrome,US,2023-04-03 11:33:40,3,15
321,Safari321__0.2302841404764837,0.664272849015072,Safari,US,2023-04-03 15:47:26,5,40
128,Chrome128__0.10996464145716556,0.15492868251056668,Chrome,CA,2023-04-03 17:15:34,11,15
175,Firefox175__0.6753917039578383,0.10579336935849692,Firefox,US,2023-04-03 18:47:46,2,14
129,Safari129__0.4356717958942411,0.1888685314892784,Safari,AU,2023-04-04 07:48:49,7,\N
276,Chrome276__0.7435635342258946,0.9356218642585437,Chrome,UK,2023-04-04 09:38:42,10,50
317,Chrome317__0.32031581733416803,0.29218595777177936,Chrome,UK,2023-04-04 10:07:11,5,30
358,Chrome358__0.9320604817544802,0.2073320085714736,Chrome,CA,2023-04-04 10:16:02,5,10
250,Chrome250__0.49750015244720713,0.39233250749010606,Chrome,US,2023-04-04 10:34:06,4,20
301,Chrome301__0.2171428832037925,0.2412100437022624,Chrome,US,2023-04-04 10:45:10,5,20
424,Safari424__0.1358239423794021,0.8010302979660937,Safari,US,2023-04-04 11:09:21,3,6
229,Safari229__0.8552929638727409,0.9777189215760165,Safari,AU,2023-04-04 13:26:25,9,52
356,Chrome356__0.12742982623142418,0.6816943213986151,Chrome,UK,2023-04-04 14:19:25,8,69
500,Safari500__0.8164871348347604,0.36839357390913374,Safari,US,2023-04-04 14:40:10,7,21
89,Chrome89__0.08303067936222797,0.195594756753811,Chrome,AU,2023-04-04 17:28:55,6,\N
499,Safari499__0.450252788414341,0.9961489615381431,Safari,AU,2023-04-04 18:19:31,5,31
611,Chrome611__0.2844257593811206,0.4076731421955828,Chrome,US,2023-04-05 07:47:56,7,14
254,Samsung Internet254__0.34710576287202777,0.6264368788759682,Samsung Internet,US,2023-04-05 08:13:09,5,20
310,Chrome310__0.17858887093218057,0.04049374438822495,Chrome,US,2023-04-05 08:25:53,6,46
379,Chrome379__0.10569129515016185,0.28768511819936937,Chrome,AU,2023-04-05 08:27:18,2,20
111,Chrome111__0.7691553502773569,0.5291040056822016,Chrome,US,2023-04-05 09:34:27,3,12
562,Chrome562__0.4365946226205497,0.49513254989656286,Chrome,US,2023-04-05 10:27:39,3,3
224,Chrome224__0.44844255826247315,0.08512192669265084,Chrome,US,2023-04-05 11:23:55,11,57
429,Edge429__0.5879056777181764,0.6229640295435965,Edge,AU,2023-04-05 13:23:45,4,\N
363,Chrome363__0.03418934066038326,0.8860419349532425,Chrome,US,2023-04-05 13:39:13,3,18
195,Chrome195__0.1638774113390684,0.113794661837604,Chrome,US,2023-04-05 14:36:25,8,48
430,Edge430__0.046012331222653025,0.4013978627739154,Edge,US,2023-04-05 15:43:45,2,10
260,Chrome260__0.8577879106586748,0.30369664526743656,Chrome,US,2023-04-05 16:07:21,5,45
97,Chrome97__0.6061631930743443,0.013181629730866673,Chrome,UK,2023-04-05 16:08:25,6,36
272,Safari272__0.7726686265694362,0.7329217756230204,Safari,US,2023-04-05 17:01:12,6,57
414,Chrome414__0.7068845906456813,0.45064847023366505,Chrome,US,2023-04-05 18:13:11,8,16
639,Firefox639__0.5621383184463384,0.9379003435885223,Firefox,AU,2023-04-05 18:17:35,2,16
11,Chrome11__0.2771435013832553,0.1835813951755485,Chrome,US,2023-04-06 07:03:04,6,50
591,Safari591__0.7303548927382029,0.24551307449343707,Safari,US,2023-04-06 08:19:32,7,32
191,Chrome191__0.003998598001417442,0.6462806038642825,Chrome,US,2023-04-06 09:07:36,2,2
256,Opera256__0.805039677462472,0.6486781071380967,Opera,UK,2023-04-06 10:01:38,4,24
335,Chrome335__0.5724914492291557,0.4644842031408154,Chrome,US,2023-04-06 10:38:40,2,14
417,Chrome417__0.5856518516834188,0.4774741961598965,Chrome,UK,2023-04-06 10:41:39,13,86
12,Safari12__0.8517682022716981,0.691312519890942,Safari,US,2023-04-06 11:35:43,9,\N
370,Chrome370__0.5469802556172816,0.48248045051923616,Chrome,US,2023-04-06 12:17:51,4,12
541,Chrome541__0.6122319782395682,0.5867552307757253,Chrome,US,2023-04-06 12:22:10,5,\N
109,Safari109__0.0920482706354766,0.18960024960292254,Safari,AU,2023-04-06 12:36:03,3,12
394,Safari394__0.1821696716904242,0.7638941585841537,Safari,US,2023-04-06 12:36:48,4,40
257,Safari257__0.31432105190383686,0.7075723461952557,Safari,UK,2023-04-06 13:01:18,1,2
100,Chrome100__0.7006209006634783,0.9429993081009291,Chrome,US,2023-04-06 14:49:25,5,35
624,Safari624__0.5458289619155994,0.2556836345771325,Safari,US,2023-04-06 15:12:53,10,49
768,Chrome768__0.5687878398004909,0.3304089678633535,Chrome,CA,2023-04-06 15:17:15,5,5
494,Safari494__0.701962524399379,0.4912857671090247,Safari,US,2023-04-06 16:04:29,12,87
390,Samsung Internet390__0.34660381940781115,0.5205059006079795,Samsung Internet,US,2023-04-06 16:27:47,9,\N
598,Chrome598__0.0033821497550741153,0.13781029522240362,Chrome,CA,2023-04-06 16:37:56,5,31
220,Chrome220__0.1445852253540587,0.9331380286508562,Chrome,US,2023-04-06 16:40:22,3,27
727,Chrome727__0.7090981223101325,0.5305471869940392,Chrome,UK,2023-04-06 16:40:26,6,46
13,Safari13__0.7665851567179265,0.554556430267731,Safari,US,2023-04-06 16:44:47,3,6
108,Chrome108__0.6138295490586119,0.2616888075272674,Chrome,CA,2023-04-06 16:49:33,4,20
199,Chrome199__0.9790576705178085,0.6628097009932066,Chrome,AU,2023-04-06 17:23:04,6,24
448,Chrome448__0.8068780153163166,0.11394779165393643,Chrome,CA,2023-04-06 17:39:09,6,6
922,Chrome922__0.4926038928646068,0.014714018893446035,Chrome,US,2023-04-07 07:04:40,3,3
971,Safari971__0.43292914416562267,0.6052133339536419,Safari,US,2023-04-07 07:08:50,9,36
50,Edge50__0.7960111304370068,0.6077710463241466,Edge,US,2023-04-07 07:24:04,7,49
554,Chrome554__0.7847311439379725,0.2530384670352177,Chrome,US,2023-04-07 07:33:49,9,\N
184,Chrome184__0.6310262033778318,0.45242703248532123,Chrome,US,2023-04-07 07:49:51,3,3
754,Chrome754__0.4417215715437801,0.8131822228359957,Chrome,US,2023-04-07 09:20:10,3,27
